ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),Attribut1_Original
A863,"Indicator Chip Very Fast Movement 8A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 8A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,8A,Ceramic,NANO,e4,20.23J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,8A,125V,125V,125V,Very Fast
A864,"Indicator Chip Very Fast Movement 8A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 8A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,8A,Ceramic,NANO,e4,20.23J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,8A,125V,125V,125V,Very Fast
A865,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,8A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A866,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,10A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A867,"Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,10A,Ceramic,6.1 X 2.69mm,e0,26.46J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,35A,10A,125V,125V,125V,Very Fast
A868,"Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,10A,Ceramic,NANO,e4,26.46J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,10A,125V,125V,125V,Very Fast
A869,"Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,10A,Ceramic,6.1 X 2.69mm,e0,26.46J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,35A,10A,125V,125V,125V,Very Fast
A870,"Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,10A,Ceramic,NANO,e4,26.46J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,35A,10A,125V,125V,125V,Very Fast
A871,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,10A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A872,"Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,12A,Ceramic,6.1 X 2.69mm,e0,47.97J,High,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,12A,65V,65V,65V,Very Fast
A873,"Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R Automotive CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,12A,Ceramic,NANO,e4,47.97J,Low,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,12A,65V,65V,65V,Very Fast
A874,"Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,12A,Ceramic,6.1 X 2.69mm,e0,47.97J,High,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,12A,65V,65V,65V,Very Fast
A875,"Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,12A,Ceramic,NANO,e4,47.97J,Low,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,12A,65V,65V,65V,Very Fast
A876,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,12A,Ceramic,6.1 X 2.69mm,,,,65V,65V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A877,"Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 15A, 65VAC, 65VDC, 100A (IR), Surface Mount",Very Fast,"INTERRUPTING CURRENT-MAX(DC): 150 A, PRE ARCING TIME: OPEN WITHIN 14400 SEC AT 100% RATED CURRENT",Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.5A,Ceramic,6.1 X 2.69mm,e0,97.82J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,100A,15A,,65V,65V,Very Fast
A878,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,15A,Ceramic,6.1 X 2.69mm,,,,65V,65V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A879,"Indicator Chip Very Fast Movement 15A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,15A,Ceramic,6.1 X 2.69mm,e0,97.82J,High,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,15A,65V,65V,65V,Very Fast
A880,"Indicator Chip Very Fast Movement 15A 65V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.5A,Ceramic,NANO,e4,97.82J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,15A,65V,65V,65V,Very Fast
A881,"Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 15A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,15A,Ceramic,6.1 X 2.69mm,e0,0.853J,High,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,1.5A,125V,125V,125V,Very Fast
A882,"Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 65 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,15A,Ceramic,NANO,e4,97.82J,Low,65V,65V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,15A,65V,65V,65V,Very Fast
A883,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,15A,Ceramic,6.1 X 2.69mm,,,,65V,65V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A884,"Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A",Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.6A,Ceramic,6.1 X 2.69mm,e0,,High,125V,125V,,Surface Mount,,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,,1.6A,125V,,,Very Fast
A885,"Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.6A,Ceramic,6.1 X 2.69mm,e0,1.06J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,1.6A,125V,125V,125V,Very Fast
A886,"Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.6A,Ceramic,NANO,e4,1.06J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,1.6A,125V,125V,125V,Very Fast
A887,"Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,1.6A,Ceramic,NANO,e4,1.06J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,1.6A,125V,125V,125V,Very Fast
A888,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,1.6A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A889,Indicator Chip Very Fast Movement 20A 125V SMD Solder Pad 2410 Ceramic T/R Electric Indicator,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,20A,Ceramic,6.1 X 2.69mm,e4,,Low,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A890,"Indicator Chip Very Fast Movement 2.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 2.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,2.5A,Ceramic,6.1 X 2.69mm,e0,1.029J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,2.5A,125V,125V,125V,Very Fast
A891,"Indicator Chip Very Fast Movement 2.5A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 2.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,2.5A,Ceramic,NANO,e4,1.029J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,2.5A,125V,125V,125V,Very Fast
A892,"Indicator Chip Very Fast Movement 2.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 2.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,2.5A,Ceramic,6.1 X 2.69mm,e0,1.029J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,2.5A,125V,125V,125V,Very Fast
A893,"Indicator Chip Very Fast Movement 2.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 2.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,2.5A,Ceramic,NANO,e4,1.029J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,2.5A,125V,125V,125V,Very Fast
A894,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,3.5A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A895,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,3.5A,Ceramic,6.1 X 2.69mm,e0,2.469J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,3.5A,125V,125V,125V,Very Fast
A896,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,3.5A,Ceramic,NANO,e4,2.469J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,3.5A,125V,125V,125V,Very Fast
A897,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,3.5A,Ceramic,6.1 X 2.69mm,e0,2.469J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,3.5A,125V,125V,125V,Very Fast
A898,"Indicator Chip Very Fast Movement 3.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,3.5A,Ceramic,NANO,e4,2.469J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,3.5A,125V,125V,125V,Very Fast
A899,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,3.5A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A900,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,0.062A,Ceramic,6.1 X 2.69mm,e4,0.00019J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,0.062A,125V,125V,125V,Very Fast
A901,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,0.062A,Ceramic,NANO,e4,0.00019J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,0.062A,125V,125V,125V,Very Fast
A902,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,0.062A,Ceramic,6.1 X 2.69mm,e0,0.00019J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,0.062A,125V,125V,125V,Very Fast
A903,"Indicator Chip Very Fast Movement 0.062A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.062A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,0.062A,Ceramic,NANO,e4,0.00019J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,0.062A,125V,125V,125V,Very Fast
A904,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,6.3A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A905,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,6.3A,Ceramic,6.1 X 2.69mm,e0,9.17J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,6.3A,125V,125V,125V,Very Fast
A906,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,6.3A,Ceramic,NANO,e4,9.17J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,6.3A,125V,125V,125V,Very Fast
A907,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 50A (IR), NANO",Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,6.3A,Ceramic,6.1 X 2.69mm,,,Low,125V,125V,,Surface Mount,,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,6.3A,125V,,,Very Fast
A908,"Indicator Chip Very Fast Movement 6.3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 6.3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,6.3A,Ceramic,NANO,e4,9.17J,Low,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,6.3A,125V,125V,125V,Very Fast
A909,,Very Fast,NA,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,,,,,6.3A,Ceramic,6.1 X 2.69mm,,,,125V,125V,,Surface Mount,,2.0,,,,,,6.1mm,,,,,,Very Fast
A910,"Indicator Chip Very Fast Movement 0.08A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 0.08A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO",Very Fast,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System,VERY FAST,2.69mm,2.69mm,6.1mm,0.08A,Ceramic,6.1 X 2.69mm,e4,0.00033J,High,125V,125V,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,6.1mm  x  2.69mm  x  2.69mm,,,6.1mm,50A,0.08A,125V,125V,125V,Very Fast
